district_name,data_quality,updated_fields,missing_sources,population_2024,population_density_per_km2_2024,rent_eur_per_sqm_miet_check_2026,rent_source_name,crime_cases_2024_pks,crime_source_name,crime_rate_per_1000_residents,daycare_facilities_2025,primary_schools_2024_2025,private_car_density_per_1000_2025,living_space_per_resident_m2_2024,single_households_share_pct,households_with_children_share_pct,one_two_family_home_share_pct,rentPerSqm,safetyScore,quietnessScore,greenScore,publicTransportScore,schoolScore,kindergartenScore,nightlifeScore
Allermöhe,partially-sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore,Miet-Check rent row,1411,164,,,437,Allermöhe,309.709,1,0,541.0,46.5,41.1,17.9,81.6,13.2,9.1,9.9,9.0,2.1,1.0,5.9,2.5
Alsterdorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,15644,4889,15.68,Alsterdorf,1254,Alsterdorf,80.159,11,0,345.0,42.7,54.5,17.7,14.9,15.68,9.8,7.8,6.4,5.1,1.0,5.7,4.3
Altengamme,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,2332,150,12.47,Altengamme,49,Altengamme,21.012,1,1,549.0,49.3,37.6,24.2,73.0,12.47,10.0,10.0,9.0,2.0,3.9,3.3,1.8
Altenwerder,partially-sourced,rentPerSqm,Statistikamt Stadtteilprofile row,,,10.37,Altenwerder,73,Altenwerder,,,,,,,,,10.37,7.4,8.2,7.8,6,5.1,6.2,5.3
Altona-Altstadt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,29680,10993,18.33,Altona-Altstadt,4039,Altona-Altstadt,136.085,28,3,218.0,35.1,64.5,14.8,1.8,18.33,9.7,4.9,4.3,7.6,1.9,7.6,6.4
Altona-Nord,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,26777,12171,17.78,Altona-Nord,4417,Altona-Nord,164.955,15,2,208.0,34.5,60.7,17.8,0.9,17.78,9.6,4.4,3.9,7.9,1.6,4.6,6.2
Bahrenfeld,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,31051,2957,15.69,Bahrenfeld,3098,Bahrenfeld,99.771,25,3,273.0,33.8,60.4,16.8,15.8,15.69,9.8,8.7,6.3,5.6,1.8,5.9,4.3
Barmbek-Nord,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,44062,11298,15.27,Barmbek-Nord,3549,Barmbek-Nord,80.546,15,2,251.0,36.9,70.2,11.0,1.3,15.27,9.8,4.8,4.3,7.3,1.6,4.2,7.1
Barmbek-Süd,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,37091,11965,18.66,Barmbek-Süd,2621,Barmbek-Süd,70.664,27,3,263.0,37.0,68.9,10.7,0.9,18.66,9.8,4.5,4.1,7.2,2.0,7.9,7.2
Bergedorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,37560,3612,12.33,Bergedorf,3368,Bergedorf,89.67,25,4,336.0,38.4,51.2,19.3,22.6,12.33,9.8,8.3,6.6,5.0,1.8,5.0,3.7
Bergstedt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,10822,1546,13.7,Bergstedt,314,Bergstedt,29.015,11,1,462.0,45.8,38.4,25.2,59.7,13.7,10.0,9.3,8.2,3.2,1.6,6.1,2.1
Billbrook,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,1851,294,11.45,Billbrook,673,Billbrook,363.587,1,1,134.0,11.8,74.8,7.7,28.2,11.45,9.0,9.9,6.0,6.8,3.5,2.9,5.3
Billstedt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,73098,4325,11.51,Billstedt,6420,Billstedt,87.827,28,7,306.0,32.7,49.0,21.1,19.7,11.51,9.8,8.0,6.1,5.5,1.7,3.1,3.6
Billwerder,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,4117,433,12.16,Billwerder,401,Billwerder,97.401,3,1,202.0,19.2,44.8,18.8,35.6,12.16,9.8,9.8,6.6,6.1,2.6,4.6,2.7
Blankenese,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,13487,1752,15.6,Blankenese,703,Blankenese,52.124,8,1,489.0,61.3,46.3,19.9,46.4,15.6,9.9,9.2,8.7,3.0,1.6,4.6,3.0
Borgfelde,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,8880,11100,13.99,Borgfelde,728,Borgfelde,81.982,3,0,186.0,28.2,68.2,10.0,0.8,13.99,9.8,4.9,3.8,8.0,1.0,3.6,7.0
Bramfeld,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,53543,5301,13.13,Bramfeld,2877,Bramfeld,53.733,32,6,380.0,39.1,54.9,16.7,25.7,13.13,9.9,7.6,6.3,4.8,2.0,5.1,4.5
Cranz,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,858,660,10.37,Cranz,26,Cranz,30.303,1,1,421.0,42.4,53.7,18.0,35.2,10.37,10.0,9.7,7.7,3.6,10.0,8.0,3.3
Curslack,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,4269,403,12.44,Curslack,119,Curslack,27.875,1,1,464.0,40.1,38.3,21.4,60.3,12.44,10.0,9.8,8.2,3.0,2.6,2.2,2.1
Dulsberg,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,17230,14358,12.71,Dulsberg,1333,Dulsberg,77.365,7,1,218.0,33.3,73.6,9.7,0.3,12.71,9.8,3.4,3.4,8.1,1.7,4.9,8.0
Duvenstedt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,5940,874,13.35,Duvenstedt,197,Duvenstedt,33.165,3,1,556.0,53.9,35.1,24.4,72.3,13.35,10.0,9.6,9.1,2.0,2.1,3.7,1.8
Eidelstedt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,36705,4219,13.95,Eidelstedt,2631,Eidelstedt,71.68,14,5,331.0,35.7,49.5,21.2,24.8,13.95,9.8,8.1,6.3,5.2,2.0,3.1,3.6
Eilbek,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,22694,12608,17.39,Eilbek,1595,Eilbek,70.283,14,3,261.0,38.2,66.0,12.1,1.6,17.39,9.9,4.2,4.1,7.3,2.5,6.3,7.0
Eimsbüttel,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,57798,18062,17.79,Eimsbüttel,4159,Eimsbüttel,71.958,61,7,246.0,38.9,68.2,12.4,1.1,17.79,9.8,1.7,2.8,8.4,2.3,10.0,8.3
Eißendorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,25557,3079,11.44,Eißendorf,1155,Eißendorf,45.193,10,3,356.0,39.1,50.8,19.7,28.0,11.44,9.9,8.6,6.9,4.7,1.9,3.3,3.5
