district_name,cases_2023,solved_cases_2023,cases_2024,solved_cases_2024,source_file
Altstadt,9747,6432,7737,4955,polizei-hamburg-pks-stadtteilatlas-2024.pdf
HafenCity,1247,316,1315,342,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Neustadt,4960,2300,4256,2040,polizei-hamburg-pks-stadtteilatlas-2024.pdf
St. Pauli,15943,7344,14982,6495,polizei-hamburg-pks-stadtteilatlas-2024.pdf
St. Georg,30089,22249,30945,22664,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Hammerbrook,3692,1523,3006,1248,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Borgfelde,914,342,728,262,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Hamm,3204,1206,3107,1362,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Horn,3076,1404,2967,1362,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Billstedt,7198,3548,6420,3364,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Billbrook,648,252,673,267,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Rothenburgsort,1403,690,1351,658,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Veddel,883,321,676,343,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Wilhelmsburg,5280,2558,5211,2436,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Kleiner Grasbrook,205,106,214,100,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Steinwerder,119,61,106,50,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Waltershof,110,49,106,49,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Finkenwerder,694,320,673,265,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Insel Neuwerk,1,1,1,0,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Altona-Altstadt,4144,2009,4039,1945,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Sternschanze,2088,1034,1774,736,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Altona-Nord,4226,2276,4417,2518,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Ottensen,2696,1057,2994,1298,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Bahrenfeld,3235,1407,3098,1233,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Groß Flottbek,522,162,423,130,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Othmarschen,1030,293,1093,237,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Lurup,2114,915,2227,1015,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Osdorf,2030,890,1857,912,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Nienstedten,297,71,303,82,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Blankenese,829,224,703,214,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Iserbrook,401,151,407,165,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Sülldorf,505,244,403,162,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Rissen,864,352,773,286,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Eimsbüttel,3932,1411,4159,1363,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Rotherbaum,1716,653,1713,486,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Harvestehude,1362,390,1438,357,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Hoheluft-West,695,214,719,210,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Lokstedt,1710,516,1532,468,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Niendorf,2772,1231,2619,1161,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Schnelsen,1403,574,1461,640,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Eidelstedt,2650,1139,2631,1048,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Stellingen,2352,906,2262,835,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Hoheluft-Ost,653,247,628,177,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Eppendorf,2122,629,2108,601,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Groß Borstel,709,262,812,214,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Alsterdorf,1221,582,1254,655,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Winterhude,4097,1212,3915,1233,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Uhlenhorst,1229,348,1256,376,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Hohenfelde,1546,685,1334,554,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Barmbek-Süd,2766,901,2621,1011,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Dulsberg,1452,769,1333,699,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Barmbek-Nord,3839,1630,3549,1583,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Ohlsdorf,1468,570,1209,470,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Fuhlsbüttel,4020,3009,4311,3342,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Langenhorn,3668,1821,3339,1454,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Eilbek,1690,668,1595,690,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Wandsbek,4191,2000,3924,1863,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Marienthal,1674,788,1617,758,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Jenfeld,2260,1084,1992,946,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Tonndorf,1146,555,1169,523,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Farmsen-Berne,2659,1070,2557,1087,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Bramfeld,2839,1340,2877,1243,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Steilshoop,1510,728,1259,505,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Wellingsbüttel,410,116,402,111,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Sasel,697,213,708,201,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Poppenbüttel,1649,682,1487,515,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Hummelsbüttel,999,472,825,363,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Lemsahl-Mellingstedt,221,49,206,68,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Duvenstedt,194,64,197,69,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Wohldorf-Ohlstedt,175,35,177,38,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Bergstedt,341,148,314,131,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Volksdorf,1155,296,1019,300,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Rahlstedt,6395,3160,6526,3409,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Lohbrügge,2977,1429,2518,1266,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Bergedorf,4429,2468,3368,1688,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Curslack,138,78,119,56,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Altengamme,42,18,49,25,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Neuengamme,98,42,76,33,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Kirchwerder,272,119,222,96,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Ochsenwerder,73,33,76,38,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Reitbrook,15,5,10,4,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Allermöhe,759,78,437,81,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Billwerder,362,234,401,277,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Moorfleet,262,90,260,128,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Tatenberg,33,6,33,6,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Spadenland,21,13,15,11,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Neuallermöhe,1347,637,1243,646,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Harburg,8062,5049,8327,5231,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Neuland,237,97,203,97,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Gut Moor,7,5,9,1,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Wilstorf,1294,634,1216,505,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Rönneburg,145,64,149,56,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Langenbek,206,83,240,95,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Sinstorf,181,101,177,79,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Marmstorf,370,168,381,147,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Eißendorf,1145,488,1155,465,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Heimfeld,2034,857,1817,783,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Moorburg,72,27,55,23,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Altenwerder,64,39,73,34,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Hausbruch,1077,541,1006,491,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Neugraben-Fischbek,2532,1216,2533,1211,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Francop,13,7,21,11,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Neuenfelde,173,89,202,109,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Cranz,15,6,26,17,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Hamburg unbekannt,8018,2451,9096,2478,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Tatort unbekannt,5787,521,5361,607,polizei-hamburg-pks-stadtteilatlas-2024.pdf
Hamburg insgesamt,234241,112967,224913,107747,polizei-hamburg-pks-stadtteilatlas-2024.pdf
