popularity_rank_by_population,district_name,population_2024,population_density_per_km2_2024,rent_eur_per_sqm_miet_check_2026,rent_source_name,crime_cases_2024_pks,crime_rate_per_1000_residents,daycare_facilities_2025,primary_schools_2024_2025,private_car_density_per_1000_2025,living_space_per_resident_m2_2024,single_households_share_pct,households_with_children_share_pct,one_two_family_home_share_pct,safetyScore,quietnessScore,greenScore,publicTransportScore,schoolScore,kindergartenScore,nightlifeScore
1,Rahlstedt,95836,3603,12.73,Rahlstedt,6526,68.095,40,12,379.0,38.6,47.4,20.8,27.2,9.8,8.4,6.7,4.5,1.9,3.4,3.4
2,Billstedt,73098,4325,11.51,Billstedt,6420,87.827,28,7,306.0,32.7,49.0,21.1,19.7,9.8,8.0,6.1,5.5,1.7,3.1,3.6
3,Winterhude,61192,8052,17.7,Winterhude,3915,63.979,44,5,287.0,41.2,64.0,13.6,2.5,9.8,6.3,5.3,6.3,1.8,6.4,5.9
4,Eimsbüttel,57798,18062,17.79,Eimsbüttel,4159,71.958,61,7,246.0,38.9,68.2,12.4,1.1,9.8,1.7,2.8,8.4,2.3,10.0,8.3
5,Wilhelmsburg,54073,1528,11.35,Wilhelmsburg,5211,96.37,25,7,260.0,29.7,51.3,21.5,13.8,9.7,9.3,6.4,5.6,1.9,3.4,3.1
6,Bramfeld,53543,5301,13.13,Bramfeld,2877,53.733,32,6,380.0,39.1,54.9,16.7,25.7,9.9,7.6,6.3,4.8,2.0,5.1,4.5
7,Langenhorn,48901,3649,12.78,Langenhorn,3339,68.281,29,5,356.0,36.2,49.2,20.7,36.4,9.8,8.3,6.7,4.8,1.8,4.4,3.5
8,Barmbek-Nord,44062,11298,15.27,Barmbek-Nord,3549,80.546,15,2,251.0,36.9,70.2,11.0,1.3,9.8,4.8,4.3,7.3,1.6,4.2,7.1
9,Niendorf,42496,3427,14.6,Niendorf,2619,61.629,20,5,398.0,43.4,50.3,18.2,34.5,9.8,8.4,7.1,4.3,2.0,4.1,3.7
10,Lohbrügge,41400,3185,11.41,Lohbrügge,2518,60.821,16,4,367.0,37.6,50.2,18.7,21.1,9.9,8.5,6.6,4.6,1.8,3.4,3.6
11,Farmsen-Berne,39266,4789,12.85,Farmsen-Berne,2557,65.12,23,4,351.0,35.1,47.8,21.8,30.9,9.8,7.8,6.3,5.0,1.7,4.2,3.6
12,Horn,39186,6642,11.78,Horn,2967,75.716,14,5,255.0,31.7,60.0,16.1,4.3,9.8,6.9,5.1,6.5,2.1,3.3,5.1
13,Hamm,38871,9967,14.77,"Average of Hamm-Mitte, Hamm-Nord, Hamm-Süd",3107,79.931,16,2,250.0,36.0,68.8,11.1,0.8,9.8,5.4,4.5,7.0,1.6,4.7,6.7
14,Wandsbek,38397,6508,14.23,Wandsbek,3924,102.195,20,4,302.0,36.5,62.0,13.6,10.0,9.7,7.0,5.5,5.9,2.0,4.8,5.4
15,Lurup,37755,5993,13.77,Lurup,2227,58.986,21,4,321.0,34.8,46.9,23.2,31.0,9.9,7.2,6.0,5.6,1.7,3.9,3.7
16,Bergedorf,37560,3612,12.33,Bergedorf,3368,89.67,25,4,336.0,38.4,51.2,19.3,22.6,9.7,8.3,6.6,5.0,1.8,5.0,3.7
17,Barmbek-Süd,37091,11965,18.66,Barmbek-Süd,2621,70.664,27,3,263.0,37.0,68.9,10.7,0.9,9.8,4.5,4.1,7.2,2.0,7.9,7.2
18,Eidelstedt,36705,4219,13.95,Eidelstedt,2631,71.68,14,5,331.0,35.7,49.5,21.2,24.8,9.8,8.1,6.3,5.2,2.0,3.1,3.6
19,Ottensen,35925,12830,17.92,Ottensen,2994,83.34,35,2,257.0,39.8,62.1,15.8,2.5,9.8,4.1,4.1,7.4,1.5,8.0,6.6
20,Neugraben-Fischbek,35295,1569,11.59,Neugraben-Fischbek,2533,71.767,22,5,351.0,37.5,40.3,26.1,38.7,9.8,9.3,7.3,4.5,1.9,4.0,2.1
21,Lokstedt,31666,6462,17.8,Lokstedt,1532,48.38,27,3,303.0,37.8,54.5,19.7,13.6,9.9,7.0,5.7,5.9,1.7,6.1,4.5
22,Schnelsen,31323,3480,13.75,Schnelsen,1461,46.643,29,4,394.0,39.9,44.5,22.6,36.8,9.9,8.4,7.0,4.3,1.9,6.1,3.0
23,Bahrenfeld,31051,2957,15.69,Bahrenfeld,3098,99.771,25,3,273.0,33.8,60.4,16.8,15.8,9.7,8.7,6.3,5.6,1.8,5.9,4.3
24,Altona-Altstadt,29680,10993,18.33,Altona-Altstadt,4039,136.085,28,3,218.0,35.1,64.5,14.8,1.8,9.6,4.9,4.3,7.6,1.9,7.6,6.4
25,Jenfeld,29391,5878,14.24,Jenfeld,1992,67.776,18,4,287.0,31.3,48.3,22.1,18.0,9.8,7.3,5.6,6.0,1.9,4.2,3.8
